id,artist_name,event_type,event_name,date,venue,city,country,img_1,img_2,img_3,link,description
1001,Gloria Gaynor,concert,Locos por los 80,20/09/2008,,Torrejón de Ardoz,Spain,,,,https://www.europapress.es/nacional/noticia-boney-gloria-gaynor-grandes-estrellas-festival-locos-80-empieza-manana-torrejon-madrid-20080918130922.html,
1002,Boney-M,concert,Locos por los 80,20/09/2008,,Torrejón de Ardoz,Spain,,,,https://www.europapress.es/nacional/noticia-boney-gloria-gaynor-grandes-estrellas-festival-locos-80-empieza-manana-torrejon-madrid-20080918130922.html,
1003,Village People,concert,Locos por los 80,18/06/2010,,Torrejón de Ardoz,Spain,,,,https://www.europapress.es/videos/video-torrejon-ardoz-vibra-village-people-20100619183958.html,
1004,Los Chichos,concert,Fiestas Torrejón,17/06/2017,,Torrejón de Ardoz,Spain,,,,https://www.miracorredor.tv/los-chunguitos-los-chichos-juntos-las-fiestas-torrejon2/,
1005,Los Chunguitos,concert,Fiestas Torrejón,17/06/2017,,Torrejón de Ardoz,Spain,,,,https://www.miracorredor.tv/los-chunguitos-los-chichos-juntos-las-fiestas-torrejon2/,
1006,Deep Purple,concert,,25/10/2003,La Cubierta,Leganés,Spain,deeppurple_2003.jpg,,,,
1007,Obus,concert,,25/10/2003,La Cubierta,Leganés,Spain,deeppurple_2003.jpg,,,,
1008,Amset,concert,,25/10/2003,La Cubierta,Leganés,Spain,deeppurple_2003.jpg,,,,
1009,Metallica,concert,,22/06/2003,Estadio de La Peineta,Madrid,Spain,metallica_2023.jpg,,,https://los40.com/los40/2003/06/23/actualidad/1056319200_272020.html,Linkin Park canceló
1010,Stone Sour,concert,,22/06/2003,Estadio de La Peineta,Madrid,Spain,metallica_2023.jpg,,,https://los40.com/los40/2003/06/23/actualidad/1056319200_272020.html,Linkin Park canceló
1011,In Flames,concert,,22/06/2003,Estadio de La Peineta,Madrid,Spain,metallica_2023.jpg,,,https://los40.com/los40/2003/06/23/actualidad/1056319200_272020.html,Linkin Park canceló
1012,Los Petersellers,concert,,06/02/2016,Gruta 77,Madrid,Spain,mamaladilla_petersellers_2016.png,,,,
1013,Mamá Ladilla,concert,,06/02/2016,Gruta 77,Madrid,Spain,mamaladilla_petersellers_2016.png,,,,
1014,Héroes del Silencio,concert,Tour 2007,10/10/2007,Estadio de la Romareda,Zaragoza,Spain,hds_zaragoza_2007.jpg,hds_zaragoza_pulsera_2007.jpg,,,
1015,Héroes del Silencio,concert,Tour 2007,27/10/2007,Circuit Ricardo Tormo,Valencia,Spain,hds_valencia_2007.jpg,,,,
1016,Chimo Bayo,concert,La Fiestaca Chanante,05/10/2006,Florida Park,Madrid,Spain,lafiestacachanante_2006.jpg,,,https://arandanos.wordpress.com/2006/10/06/la-fiestaca-chanante/,
1017,Ojete Calor,concert,La Fiestaca Chanante,05/10/2006,Florida Park,Madrid,Spain,lafiestacachanante_2006.jpg,,,https://arandanos.wordpress.com/2006/10/06/la-fiestaca-chanante/,
1018,Berri Txarrak,concert,Last Tour,09/11/2019,Wizink Center (Palacio de los Deportes),Madrid,Spain,berritxarrak_2019.jpg,,,,
1019,Blink 182,concert,European Tour 2023,03/10/2023,Wizink Center (Palacio de los Deportes),Madrid,Spain,blink182_2023.jpg,,,,
1020,Crowded House,concert,Noches del Botánico,09/07/2022,Real Jardín Botánico Alfonso XIII,Madrid,Spain,nochesbotanico_2022.jpg,,,,
1021,Linkin Park,festival,Download 2017,22/06/2017,La Caja Mágica,Madrid,Spain,download_cartel_2017.jpg,,,,
1022,System of a Down,festival,Download 2017,23/06/2017,La Caja Mágica,Madrid,Spain,download_cartel_2017.jpg,,,,
1023,Marilyn Manson,festival,Download 2018,28/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1024,Rise Against,festival,Download 2018,28/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1025,Pennywise,festival,Download 2018,28/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1026,Guns N' Roses,festival,Download 2018,29/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1027,Judas Priest,festival,Download 2018,30/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1028,Ozzy Osbourne,festival,Download 2018,30/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1029,Volbeat,festival,Download 2018,30/06/2018,La Caja Mágica,Madrid,Spain,download_cartel_2018.jpg,,,,
1030,Scorpions,festival,Download 2019,28/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1031,Papa Roach,festival,Download 2019,28/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1032,Me First and the Gimme Gimmes,festival,Download 2019,28/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1033,Slipknot,festival,Download 2019,29/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1034,Stone Temple Pilots,festival,Download 2019,29/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1035,Berri Txarrak,festival,Download 2019,29/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1036,Sum 41,festival,Download 2019,30/06/2019,La Caja Mágica,Madrid,Spain,download_cartel_2019.jpg,,,,
1037,Non Servium,concert,,,,Getafe,Spain,,,,,
1038,Non Servium,concert,,2012,CSO La Traba,Madrid,Spain,nonservium_2012.jpg,,,,
1039,Non Servium,concert,,13/10/2023,Wizink Center (Palacio de los Deportes),Madrid,Spain,nonservium_2023.png,,,,
1040,Joxe Ripiau,concert,,22/10/2000,CSO La Nevera,Madrid,Spain,,,,https://elpais.com/diario/2000/10/23/madrid/972300267_850215.html#,
1041,Mojinos Escozíos,concert,Fiestas Getafe,,,Getafe,Spain,,,,,
1042,Reincidentes,concert,Fiestas Hortaleza 2010,29/05/2010,Auditorio parque Pinar del Rey,Madrid,Spain,,,,,
